iter,program_id,not_filled,lower_cutoff,upper_cutoff
1,1,FALSE,23.04528,6.04667
1,3,FALSE,4.09603,4.11546
1,5,FALSE,37.01784,6.02668
1,6,FALSE,33.02089,5.0551
1,7,FALSE,1,4.00649
1,9,FALSE,5.08909,4.09409
1,10,FALSE,4.13413,5.05398
1,11,FALSE,1,6.10501
1,13,FALSE,6.065,6.06574
1,17,FALSE,29.02802,6.0108
1,18,FALSE,6.03685,6.03388
1,19,TRUE,33.06253,1
1,21,FALSE,18.04945,6.0792
1,22,FALSE,6.1344,6.12917
1,25,FALSE,19.12744,6.02636
1,29,FALSE,5.09816,2.03344
1,30,FALSE,6.11811,6.13109
1,69,FALSE,24.13023,2.11322
1,70,FALSE,23.00473,28.0411
1,71,FALSE,6.08332,6.11171
1,72,FALSE,33.0576,33.07328
1,73,FALSE,28.1166,28.00914
1,74,FALSE,33.01245,33.03539
1,75,FALSE,33.12446,34.04192
1,76,FALSE,6.10911,6.11534
1,77,FALSE,6.1419,18.09162
1,78,FALSE,23.11953,6.04211
1,79,FALSE,6.09701,6.09748
1,82,FALSE,29.01436,6.09584
1,83,FALSE,18.02175,3.0864
1,84,FALSE,1,33.1432
1,85,TRUE,2.01445,1
1,86,TRUE,29.05358,1
1,91,FALSE,5.11407,5.0741
1,92,FALSE,28.01649,6.05991
1,93,FALSE,23.07591,6.11622
1,95,FALSE,5.01025,4.09911
1,98,FALSE,30.13448,4.12335
1,99,FALSE,34.10527,22.00184
1,100,FALSE,35.02064,6.1184
1,101,FALSE,23.11523,3.07249
1,103,FALSE,25.10546,6.13316
1,104,FALSE,30.07133,6.01039
1,106,FALSE,28.03239,3.07943
1,107,FALSE,26.08796,4.03851
1,109,FALSE,34.1059,6.1365
1,110,FALSE,28.09439,6.06643
1,111,FALSE,33.12805,5.06052
1,112,FALSE,22.03523,4.0374
1,113,FALSE,28.10154,5.04122
1,114,FALSE,5.075,2.14243
1,115,FALSE,5.13978,6.05669
1,116,FALSE,28.06965,3.08593
1,117,FALSE,5.03106,3.07844
1,118,FALSE,18.12644,2.00809
1,120,FALSE,34.13791,2.08999
1,121,FALSE,5.08799,3.02439
1,122,FALSE,5.14675,2.05615
1,123,FALSE,6.13842,2.0553
1,124,FALSE,37.12948,5.0101
1,125,FALSE,34.13379,35.03701
1,126,FALSE,30.08515,35.03775
1,127,FALSE,24.08318,6.0687
1,128,FALSE,30.01161,6.03096
1,129,FALSE,30.01662,6.08023
1,130,FALSE,35.11981,35.1248
1,131,FALSE,5.11342,4.13582
1,133,FALSE,5.14638,3.11292
1,134,FALSE,5.11451,4.06721
1,135,FALSE,4.02737,2.04102
1,136,FALSE,4.12075,4.0658
1,137,TRUE,5.11015,1
1,139,FALSE,5.09978,5.0046
1,140,FALSE,3.05736,4.09263
1,141,FALSE,2.04607,6.02149
1,142,FALSE,3.04573,3.13781
1,143,FALSE,5.08557,1.05793
1,144,FALSE,5.12786,4.01743
1,145,FALSE,1,30.07622
1,146,TRUE,1,1
1,147,FALSE,1,2.04663
1,148,TRUE,1,1
1,149,TRUE,18.04996,1
1,150,FALSE,1,35.08358
1,151,TRUE,1.13595,1
1,153,FALSE,6.1143,6.12737
1,154,FALSE,23.12488,6.06123
1,155,FALSE,23.00015,4.08747
1,156,FALSE,5.04887,6.00877
1,157,FALSE,5.07683,2.12889
1,158,FALSE,18.04006,4.04298
1,159,FALSE,23.11375,3.07939
1,160,FALSE,23.11798,4.04841
1,161,FALSE,18.03463,4.01978
1,162,FALSE,29.10585,34.02431
1,164,FALSE,37.13822,5.04764
1,165,FALSE,6.01654,35.00047
1,166,FALSE,30.11248,35.04772
1,167,FALSE,5.10778,6.0647
1,168,FALSE,1,35.12724
1,169,FALSE,30.00793,35.12178
1,173,FALSE,29.01425,6.02989
1,175,FALSE,3.12331,3.1235
1,176,FALSE,5.02532,5.0612
1,177,FALSE,30.10775,6.04815
1,178,FALSE,35.00826,34.02234
1,179,FALSE,34.00907,6.14585
1,180,FALSE,28.02858,28.14611
1,181,FALSE,35.01644,33.03526
1,182,FALSE,10.04636,6.1462
1,183,FALSE,35.11954,6.10231
1,184,FALSE,37.05705,6.13798
1,185,FALSE,28.07003,6.12915
1,186,FALSE,37.07473,6.03969
1,188,FALSE,30.13536,1.07081
1,189,FALSE,34.10743,34.12935
1,190,FALSE,23.06487,6.14433
1,191,FALSE,30.12256,6.05
1,192,FALSE,25.09895,6.12979
1,193,FALSE,35.10878,36.03966
1,194,FALSE,25.07627,6.07445
1,195,FALSE,28.07715,6.01749
1,197,FALSE,30.12493,2.0343
1,198,FALSE,25.05308,6.02623
1,199,FALSE,30.04899,6.11823
1,200,FALSE,6.05205,6.11397
1,201,FALSE,5.05146,6.05461
1,202,FALSE,37.06387,37.06874
1,203,FALSE,30.11828,30.05007
1,204,FALSE,30.12799,4.1256
1,206,FALSE,30.1225,2.03281
1,207,FALSE,28.04937,6.08815
1,208,FALSE,5.14209,5.04907
1,209,FALSE,28.11278,28.09797
1,210,FALSE,28.14469,28.11191
1,211,FALSE,28.02505,33.03262
1,212,FALSE,5.04286,4.14134
1,213,FALSE,13.06474,5.08322
1,216,FALSE,28.13819,6.08539
1,217,FALSE,29.0489,6.13997
1,218,FALSE,30.1303,6.09852
1,219,FALSE,25.04042,6.12776
1,222,FALSE,28.04833,5.0817
1,225,FALSE,33.06775,33.11509
1,226,FALSE,35.07788,6.08281
1,227,FALSE,37.09487,34.13586
1,229,FALSE,33.11058,33.10201
1,230,FALSE,33.06191,33.02112
1,233,FALSE,30.10491,6.00393
1,234,FALSE,30.12545,33.0633
1,235,FALSE,30.13604,33.02028
1,236,FALSE,4.13276,4.05424
1,237,FALSE,5.11889,6.07293
1,242,FALSE,24.14053,4.11842
1,243,FALSE,6.02482,6.07811
1,251,FALSE,34.02384,34.05215
1,252,FALSE,28.12196,6.13311
1,253,FALSE,30.08495,4.03939
1,254,FALSE,4.00358,1.07426
1,255,FALSE,13.02961,3.02494
1,256,FALSE,30.03794,2.0964
1,257,FALSE,20.08889,4.03198
1,258,FALSE,18.11731,1.02731
1,259,FALSE,5.0143,33.09123
1,260,FALSE,5.13606,5.03122
1,262,FALSE,36.12984,1.00078
1,263,FALSE,6.00858,3.04981
1,264,FALSE,29.0431,6.05212
1,265,FALSE,6.0907,5.1157
1,270,FALSE,6.04207,33.01786
1,271,FALSE,28.13351,6.04373
1,272,FALSE,5.07061,6.0539
1,273,FALSE,5.06598,6.04168
1,274,FALSE,5.11594,6.00675
1,275,FALSE,6.07037,33.01544
1,280,FALSE,5.10446,3.01853
1,289,FALSE,29.12931,5.13521
1,290,FALSE,6.1204,6.09621
1,291,FALSE,6.14407,6.14458
1,292,FALSE,6.13166,5.10447
1,293,FALSE,30.10214,15.12897
1,294,FALSE,6.12369,10.06083
1,295,FALSE,36.07435,25.07886
1,296,FALSE,4.12973,20.0465
1,297,FALSE,35.10116,6.12453
1,298,FALSE,33.1374,1.0402
1,299,FALSE,34.04659,6.05977
1,300,FALSE,33.09013,4.1232
1,301,FALSE,33.02148,4.12591
1,302,FALSE,35.03767,5.1065
1,303,FALSE,33.08752,5.03703
1,308,FALSE,31.10126,3.06491
1,317,FALSE,22.09755,4.10506
1,318,FALSE,36.14249,6.03358
1,319,FALSE,30.11257,5.08371
1,320,FALSE,27.10222,4.01892
1,321,FALSE,34.09038,4.0724
1,322,FALSE,18.10442,5.05628
1,323,FALSE,17.07932,2.08756
1,324,FALSE,23.09084,2.13383
1,325,FALSE,25.09611,2.09438
