program_id,upper_cutoff,lower_cutoff,not_filled,iter
1,1.07023,3.04528,False,1
3,1.09848,1.09603,False,1
5,1.07577,7.01784,False,1
6,1.0551,3.02089,False,1
7,1.00649,1.0,False,1
9,1.00243,1.09318,False,1
10,1.05398,1.13413,False,1
11,1.10501,1.0,False,1
13,1.11623,1.10688,False,1
17,1.0274,4.02802,False,1
18,1.06205,1.05951,False,1
19,1.0,3.06253,True,1
21,1.1019700000000001,3.04945,False,1
22,1.13927,1.1344,False,1
25,1.04793,4.12744,False,1
29,1.02248,1.13473,False,1
30,1.13757,1.13963,False,1
69,1.00176,4.13023,False,1
70,3.00621,3.03258,False,1
71,1.11171,1.08535,False,1
72,3.07328,3.10772,False,1
73,3.00891,3.1166,False,1
74,3.03539,3.01245,False,1
75,4.04192,3.12446,False,1
76,1.14033,1.13657,False,1
77,3.00147,1.1419,False,1
78,1.09185,3.11953,False,1
79,1.12311,3.06995,False,1
82,1.09584,4.02735,False,1
83,1.0864,3.02175,False,1
84,3.1432,1.0,False,1
85,1.0,1.01445,True,1
86,1.0,4.05358,True,1
91,1.03848,1.12568,False,1
92,1.10043,3.01649,False,1
93,1.12596,3.07591,False,1
95,1.03997,1.1296599999999999,False,1
98,1.11214,5.13448,False,1
99,2.00238,5.14556,False,1
100,1.1271,6.06321,False,1
101,1.0427,3.11523,False,1
103,1.13316,5.10546,False,1
104,1.0728,5.07133,False,1
106,1.07684,5.14685,False,1
107,1.03851,6.08796,False,1
109,1.1365,4.1059,False,1
110,1.11056,3.09439,False,1
111,1.03002,3.12805,False,1
112,1.01336,2.03523,False,1
113,1.0594999999999999,3.05124,False,1
114,1.02037,1.11942,False,1
115,1.05972,1.13961,False,1
116,1.01454,3.06965,False,1
117,1.06276,1.11444,False,1
118,1.00644,3.12644,False,1
120,1.00191,4.13791,False,1
121,1.0025,1.1172,False,1
122,1.00404,1.14675,False,1
123,1.01564,1.13842,False,1
124,1.0101,7.12948,False,1
125,5.03701,4.13379,False,1
126,5.08515,5.07917,False,1
127,1.0687,4.08318,False,1
128,1.03096,5.01161,False,1
129,1.08023,5.01662,False,1
130,5.1248,5.11981,False,1
131,1.13582,1.11342,False,1
133,1.00086,1.14638,False,1
134,1.00046,1.1145100000000001,False,1
135,1.12998,1.10307,False,1
136,1.0658,1.13612,False,1
137,1.0,1.11015,True,1
139,1.0046,1.10855,False,1
140,1.09263,1.14432,False,1
141,1.02149,1.04607,False,1
142,1.12595,1.13781,False,1
143,1.02398,1.11118,False,1
144,1.01743,1.1353900000000001,False,1
145,5.07622,1.0,False,1
146,1.0,1.0,True,1
147,1.04663,1.0,False,1
148,1.0,1.0,True,1
149,1.0,3.04996,True,1
150,5.08358,1.0,False,1
151,1.0,1.13595,True,1
153,1.14018,1.13937,False,1
154,1.12762,5.06158,False,1
155,1.0141,7.09007,False,1
156,1.04889,1.14278,False,1
157,1.0205,1.14253,False,1
158,1.04298,3.04006,False,1
159,1.02203,3.11375,False,1
160,1.03021,3.11798,False,1
161,1.01978,3.03463,False,1
162,4.10585,4.02765,False,1
164,1.04749,7.1382200000000005,False,1
165,5.00047,1.11991,False,1
166,5.11248,5.06428,False,1
167,1.10778,1.0647,False,1
168,5.12724,1.0,False,1
169,5.12178,5.0852,False,1
173,1.08376,4.01425,False,1
175,1.07177,1.06189,False,1
176,1.0612,1.02532,False,1
177,1.09154,5.10775,False,1
178,4.02234,5.12632,False,1
179,1.14585,5.12769,False,1
180,2.01382,5.08812,False,1
181,3.03526,5.08811,False,1
182,1.1461999999999999,5.01942,False,1
183,1.11305,5.11954,False,1
184,1.13798,7.05705,False,1
185,1.12915,5.11464,False,1
186,1.10047,7.07473,False,1
188,1.00183,5.13536,False,1
189,4.12935,6.12655,False,1
190,3.03201,3.08777,False,1
191,1.06433,5.12256,False,1
192,1.12979,5.09895,False,1
193,6.03966,5.10878,False,1
194,1.13775,5.07627,False,1
195,1.12822,3.07715,False,1
197,1.01673,5.12493,False,1
198,1.10923,5.05308,False,1
199,3.02292,4.1102,False,1
200,1.14697,1.13971,False,1
201,1.11477,1.06091,False,1
202,7.06874,7.06387,False,1
203,4.10679,5.11828,False,1
204,1.1256,5.12799,False,1
206,1.00126,5.1225,False,1
207,1.09323,3.04937,False,1
208,1.04907,1.14209,False,1
209,3.02074,3.11771,False,1
210,3.04816,3.14469,False,1
211,3.03262,3.02505,False,1
212,1.12519,1.13133,False,1
213,1.08322,3.06474,False,1
216,1.11418,6.03679,False,1
217,1.13997,4.0489,False,1
218,1.12788,5.1303,False,1
219,1.12887,5.04042,False,1
222,1.11772,3.04833,False,1
225,4.01449,3.06775,False,1
226,1.09002,5.07788,False,1
227,4.13586,7.09487,False,1
229,3.10201,4.12583,False,1
230,3.07635,3.10419,False,1
233,1.00393,5.13716,False,1
234,3.0633,5.12545,False,1
235,3.06735,3.02028,False,1
236,1.05424,1.13276,False,1
237,1.07293,1.11889,False,1
242,1.02249,4.14053,False,1
243,1.07811,1.14679,False,1
251,4.05215,4.08808,False,1
252,1.13311,3.12196,False,1
253,1.02007,5.08495,False,1
254,1.01167,1.13839,False,1
255,1.02494,3.02961,False,1
256,1.02569,5.03794,False,1
257,1.01322,5.08889,False,1
258,1.09969,3.11731,False,1
259,3.09123,1.14401,False,1
260,1.03122,1.13606,False,1
262,1.00158,6.12984,False,1
263,1.05167,1.13525,False,1
264,1.08968,4.0431,False,1
265,1.1157,1.14522,False,1
270,3.01786,1.14286,False,1
271,1.08203,3.13351,False,1
272,1.07061,1.10905,False,1
273,1.08193,1.13292,False,1
274,1.09192,1.14248,False,1
275,3.01544,1.1345399999999999,False,1
280,1.01638,1.10446,False,1
289,1.04885,4.13478,False,1
290,1.09621,1.1355,False,1
291,1.14458,1.14407,False,1
292,1.02262,1.13166,False,1
293,5.0146,6.0971,False,1
294,5.00251,5.13026,False,1
295,5.0116,6.07435,False,1
296,5.00667,5.05532,False,1
297,1.12977,5.1218,False,1
298,1.00593,5.09203,False,1
299,1.09196,4.04659,False,1
300,1.08845,5.02387,False,1
301,1.01479,3.09835,False,1
302,1.06126,5.04709,False,1
303,1.03703,3.08752,False,1
308,1.02242,6.10126,False,1
317,1.02925,5.11417,False,1
318,1.11602,6.1424900000000004,False,1
319,1.07274,5.11257,False,1
320,1.00026,5.09657,False,1
321,1.0334699999999999,4.09038,False,1
322,1.05256,3.10442,False,1
323,1.01406,3.13476,False,1
324,1.06279,3.09084,False,1
325,1.04114,5.09611,False,1
326,1.01547,3.10784,False,1
328,1.07196,5.12064,False,1
329,1.14199,6.02755,False,1
330,1.08341,5.11959,False,1
331,1.03451,5.0437,False,1
332,1.11979,5.1316,False,1
333,3.0905,5.11689,False,1
334,1.10738,1.1383,False,1
335,1.11924,5.10422,False,1
336,1.06455,5.14074,False,1
337,1.12803,5.08087,False,1
339,1.07556,5.06056,False,1
340,1.0,1.04802,True,1
341,1.0,5.09448,True,1
342,6.02564,1.10689,False,1
343,1.0,1.0,True,1
346,1.08475,5.05087,False,1
347,1.10418,6.03309,False,1
348,1.09927,5.06398,False,1
349,1.00382,5.06748,False,1
350,1.13594,4.02517,False,1
351,1.14385,5.06499,False,1
352,1.0962,4.0002,False,1
353,4.09648,7.09145,False,1
354,4.08754,5.10118,False,1
355,1.03149,3.1202199999999998,False,1
357,1.05593,4.13624,False,1
358,1.08956,3.10758,False,1
359,1.10956,3.06842,False,1
361,1.11401,5.05733,False,1
363,5.07959,5.06897,False,1
364,5.06372,5.05813,False,1
365,1.12356,3.0369,False,1
366,1.1283400000000001,1.13824,False,1
367,5.06467,5.11728,False,1
370,1.10495,3.14079,False,1
371,1.14152,3.09121,False,1
372,1.14204,6.05413,False,1
373,1.1292,1.14405,False,1
374,1.00736,7.09844,False,1
375,1.0098799999999999,3.03134,False,1
376,1.11567,1.14482,False,1
377,1.05356,1.01907,False,1
378,3.05759,3.12083,False,1
379,3.10834,1.0691,False,1
380,4.09585,3.10583,False,1
381,1.06799,1.08047,False,1
383,1.0575,5.13869,False,1
384,1.14539,5.13424,False,1
385,1.00157,5.08027,False,1
386,1.0657,5.08511,False,1
387,1.01867,4.07158,False,1
388,1.0113,1.12602,False,1
389,1.01886,2.07204,False,1
390,1.00466,2.05594,False,1
391,1.0168,3.02939,False,1
394,1.00141,5.09642,False,1
395,5.05102,1.03116,False,1
396,5.13786,1.10476,False,1
397,5.00409,1.1275,False,1
398,5.08737,3.05839,False,1
403,1.03589,4.10234,False,1
404,5.01403,4.08154,False,1
405,5.08787,1.11362,False,1
406,1.07701,1.0,False,1
407,4.01561,3.04393,False,1
408,1.0,1.02361,True,1
412,5.00154,6.12594,False,1
413,5.00076,5.02959,False,1
414,5.0464,6.08054,False,1
415,5.00482,3.06065,False,1
416,3.09168,3.06114,False,1
417,1.12475,3.04552,False,1
418,5.07115,5.03225,False,1
419,3.12439,5.1428,False,1
420,3.0814,3.06575,False,1
421,3.13139,5.13737,False,1
422,1.14698,5.07179,False,1
423,1.07965,3.08778,False,1
425,1.10048,1.13029,False,1
426,1.08776,4.12218,False,1
427,1.06395,1.14331,False,1
428,3.10632,3.07521,False,1
429,3.1012,3.04545,False,1
1,1.0950199999999999,3.04987,False,2
3,1.05619,1.00575,False,2
