iter,applicant_id,program_id,quota_id,ranking,score
1,7511476,1.0,2.0,1,1.11564
1,7545558,1.0,2.0,1,1.10314
1,7110770,1.0,2.0,2,1.09377
1,7531228,1.0,2.0,1,1.07023
1,3738998,1.0,3.0,1,3.09275
1,3738826,1.0,3.0,1,1.14361
1,3737418,1.0,3.0,1,1.14272
1,3652716,1.0,3.0,1,1.1307800000000001
1,3650241,1.0,3.0,1,1.10552
1,3738387,1.0,3.0,1,1.09994
1,3738008,1.0,3.0,1,1.09631
1,3656235,1.0,3.0,2,1.09507
1,3640405,3.0,3.0,3,1.11546
1,3659937,3.0,3.0,1,1.09848
1,3648061,5.0,2.0,1,4.09164
1,3647300,5.0,2.0,1,1.14674
1,7269417,5.0,2.0,1,1.14327
1,3737813,5.0,2.0,3,1.14144
1,7540981,5.0,2.0,1,1.13622
1,3662727,5.0,2.0,1,1.1309
1,7550178,5.0,2.0,1,1.12975
1,3650819,5.0,2.0,1,1.11854
1,3649695,5.0,2.0,1,1.11211
1,7542406,5.0,2.0,1,1.10871
1,7514860,5.0,2.0,2,1.10002
1,3618237,5.0,2.0,1,1.09189
1,7537477,5.0,2.0,2,1.07577
1,3735559,5.0,3.0,1,4.1004
1,3738996,5.0,3.0,1,3.12597
1,3648649,5.0,3.0,2,3.0455
1,7513647,5.0,3.0,1,1.1452
1,3647571,5.0,3.0,1,1.1449799999999999
1,3737578,5.0,3.0,1,1.14314
1,7509620,5.0,3.0,1,1.14259
1,3649230,5.0,3.0,1,1.1415899999999999
1,3647450,5.0,3.0,1,1.13855
1,3650250,5.0,3.0,2,1.13707
1,3744409,5.0,3.0,1,1.12682
1,3646981,5.0,3.0,1,1.12476
1,7536167,5.0,3.0,3,1.12343
1,3737861,5.0,3.0,2,1.12086
1,3740953,5.0,3.0,1,1.11871
1,7532259,5.0,3.0,1,1.1182
1,3739345,5.0,3.0,3,1.11343
1,3638231,6.0,2.0,1,1.07088
1,7552281,6.0,2.0,2,1.0551
1,3629626,6.0,11.0,1,3.0704
1,3732536,7.0,2.0,1,2.10306
1,7510114,7.0,2.0,3,1.08957
1,3625844,7.0,2.0,3,1.04307
1,7516746,7.0,3.0,1,1.08568
1,3621125,7.0,3.0,2,1.06883
1,7455112,7.0,3.0,1,1.02291
1,3625569,7.0,3.0,1,1.00649
1,3648278,9.0,2.0,3,1.09409
1,3661005,9.0,2.0,1,1.00565
1,3655470,9.0,2.0,1,1.00243
1,3741660,9.0,3.0,1,1.1452499999999999
1,7509646,9.0,3.0,2,1.12658
1,7507762,9.0,3.0,2,1.11944
1,7531337,9.0,3.0,2,1.10903
1,3682779,9.0,3.0,1,1.10042
1,3737771,9.0,3.0,1,1.0586
1,3737293,9.0,3.0,2,1.04754
1,3649687,10.0,3.0,1,1.14309
1,3617081,10.0,3.0,2,1.05398
1,3644352,11.0,3.0,1,1.10501
1,3778318,13.0,2.0,1,1.11656
1,3650579,13.0,3.0,2,1.12216
1,3646199,13.0,3.0,2,1.11623
1,3650088,17.0,2.0,1,7.13921
1,3656593,17.0,2.0,1,1.14711
1,3660615,17.0,2.0,1,1.14496
1,7509538,17.0,2.0,1,1.13877
1,7549761,17.0,2.0,1,1.13755
1,3661858,17.0,2.0,2,1.13335
1,7525879,17.0,2.0,2,1.13128
1,3650341,17.0,2.0,1,1.12885
1,7512276,17.0,2.0,1,1.10953
1,3650376,17.0,2.0,1,1.09885
1,7519845,17.0,2.0,1,1.0974
1,3737253,17.0,2.0,1,1.08955
1,7552708,17.0,2.0,1,1.07225
1,7518760,17.0,2.0,1,1.06534
1,7542673,17.0,2.0,1,1.05978
1,7557778,17.0,2.0,1,1.05744
1,3737233,17.0,3.0,1,4.03881
1,3650535,17.0,3.0,1,4.02499
1,7516021,17.0,3.0,1,3.08798
1,7516033,17.0,3.0,1,3.00193
1,3650237,17.0,3.0,1,1.14557
1,3663750,17.0,3.0,1,1.12925
1,3737546,17.0,3.0,1,1.10875
1,3643191,17.0,3.0,2,1.10101
1,3649558,17.0,3.0,1,1.09951
1,7513867,17.0,3.0,1,1.08929
1,3647377,17.0,3.0,1,1.08439
1,7537530,17.0,3.0,5,1.08424
1,3647557,17.0,3.0,3,1.0772
1,3649810,17.0,3.0,2,1.0737700000000001
1,3738710,17.0,3.0,1,1.07199
1,3738230,17.0,3.0,1,1.05607
1,3656362,17.0,3.0,1,1.05499
1,3629447,17.0,3.0,1,1.0448
1,3736776,17.0,3.0,3,1.04093
1,3650939,17.0,3.0,1,1.03738
1,3656423,17.0,3.0,2,1.03634
1,3647589,17.0,3.0,3,1.03012
1,3648965,17.0,3.0,2,1.02881
1,3651287,17.0,3.0,3,1.0274
1,7556519,18.0,2.0,2,1.10414
1,3616160,18.0,2.0,1,1.08479
1,7555507,18.0,2.0,1,1.06205
1,3635252,18.0,3.0,2,1.13616
1,7519527,18.0,3.0,1,1.12558
1,3618504,18.0,3.0,1,1.11713
1,3616224,18.0,3.0,2,1.10474
1,3638568,18.0,3.0,1,1.1029
1,3659105,21.0,2.0,1,4.14374
1,3646966,21.0,2.0,1,4.0941
1,3649201,21.0,2.0,1,3.07414
1,3616526,21.0,2.0,2,1.1472
1,3650277,21.0,2.0,1,1.14358
1,7513859,21.0,2.0,1,1.14046
1,3646278,21.0,2.0,1,1.13464
1,7512981,21.0,2.0,3,1.13386
1,3617785,21.0,2.0,2,1.13219
1,7084940,21.0,2.0,3,1.12693
1,7160066,21.0,2.0,1,1.12407
1,7553171,21.0,2.0,1,1.12135
1,7036274,21.0,2.0,1,1.12104
1,7512193,21.0,2.0,1,1.11916
1,7516447,21.0,2.0,3,1.11486
1,3673836,21.0,2.0,1,1.11365
1,3617151,21.0,2.0,1,1.1019700000000001
1,3654277,21.0,3.0,1,4.11705
1,3737538,21.0,3.0,1,4.04432
1,3660190,21.0,3.0,2,4.02365
1,3647436,21.0,3.0,1,4.01691
1,3650305,21.0,3.0,2,3.13564
1,3650302,21.0,3.0,2,3.12753
1,3646945,21.0,3.0,1,1.14658
1,3656349,21.0,3.0,1,1.14481
1,3648421,21.0,3.0,2,1.14276
1,3648961,21.0,3.0,3,1.14274
1,3647818,21.0,3.0,1,1.14221
1,3737408,21.0,3.0,1,1.1415
1,3738299,21.0,3.0,1,1.13715
1,3650867,21.0,3.0,1,1.13701
1,3738584,21.0,3.0,3,1.13575
1,3738870,21.0,3.0,2,1.13399
1,3646882,21.0,3.0,2,1.1331
1,7509557,21.0,3.0,3,1.13267
1,3738164,21.0,3.0,2,1.13199
1,3738318,21.0,3.0,1,1.12958
1,7292069,21.0,3.0,2,1.12728
1,3649323,21.0,3.0,1,1.12341
1,3649737,21.0,3.0,4,1.12237
1,3650378,21.0,11.0,4,1.11374
1,3738787,21.0,11.0,3,1.11337
1,3737544,22.0,3.0,1,4.08181
1,3648347,22.0,3.0,1,1.14626
1,3619635,22.0,3.0,3,1.13927
1,7441348,25.0,2.0,1,1.13061
1,3660911,25.0,2.0,1,1.1098
1,7551168,25.0,2.0,1,1.05617
1,7548311,25.0,2.0,2,1.04865
1,7515334,25.0,2.0,1,1.04793
1,3650107,25.0,3.0,1,1.1253
1,3738644,25.0,3.0,2,1.1228
1,3647378,25.0,3.0,2,1.12272
1,3649451,25.0,3.0,2,1.11066
1,3618540,25.0,3.0,1,1.10883
1,3648325,25.0,3.0,2,1.09525
1,3647480,25.0,3.0,1,1.09012
1,3649516,25.0,3.0,1,1.08586
1,7289287,29.0,2.0,2,1.13239
1,7505970,29.0,2.0,1,1.11086
1,7556006,29.0,2.0,1,1.09463
1,7292333,29.0,2.0,2,1.02514
1,3658671,29.0,3.0,1,4.09453
1,3738763,29.0,3.0,1,1.14508
1,7511198,29.0,3.0,2,1.1368
1,3737150,29.0,3.0,1,1.1344400000000001
1,3649865,29.0,3.0,1,1.1214
1,3646256,29.0,3.0,2,1.11639
1,3738616,29.0,3.0,1,1.10217
1,7511720,29.0,3.0,2,1.09816
1,3737996,29.0,3.0,1,1.09354
1,3647615,29.0,3.0,1,1.08314
