priority_profile,prioridad,a816,prioridad_garantizada,a811,num_prio,num_vul,tramo
6840,1,1,1,1,8,9,0
6839,1,1,1,1,8,9,40
6838,1,1,1,1,8,9,50
6837,1,1,1,1,8,9,60
6836,1,1,1,1,8,9,70
6835,1,1,1,1,8,9,80
6834,1,1,1,1,8,9,90
6833,1,1,1,1,8,9,100
6832,1,1,1,1,8,9,101
6831,1,1,1,1,8,8,0
6830,1,1,1,1,8,8,40
6829,1,1,1,1,8,8,50
6828,1,1,1,1,8,8,60
6827,1,1,1,1,8,8,70
6826,1,1,1,1,8,8,80
6825,1,1,1,1,8,8,90
6824,1,1,1,1,8,8,100
6823,1,1,1,1,8,8,101
6822,1,1,1,1,8,7,0
6821,1,1,1,1,8,7,40
6820,1,1,1,1,8,7,50
6819,1,1,1,1,8,7,60
6818,1,1,1,1,8,7,70
6817,1,1,1,1,8,7,80
6816,1,1,1,1,8,7,90
6815,1,1,1,1,8,7,100
6814,1,1,1,1,8,7,101
6813,1,1,1,1,8,6,0
6812,1,1,1,1,8,6,40
6811,1,1,1,1,8,6,50
6810,1,1,1,1,8,6,60
6809,1,1,1,1,8,6,70
6808,1,1,1,1,8,6,80
6807,1,1,1,1,8,6,90
6806,1,1,1,1,8,6,100
6805,1,1,1,1,8,6,101
6804,1,1,1,1,8,5,0
6803,1,1,1,1,8,5,40
6802,1,1,1,1,8,5,50
6801,1,1,1,1,8,5,60
6800,1,1,1,1,8,5,70
6799,1,1,1,1,8,5,80
6798,1,1,1,1,8,5,90
6797,1,1,1,1,8,5,100
6796,1,1,1,1,8,5,101
6795,1,1,1,1,8,4,0
6794,1,1,1,1,8,4,40
6793,1,1,1,1,8,4,50
6792,1,1,1,1,8,4,60
6791,1,1,1,1,8,4,70
6790,1,1,1,1,8,4,80
6789,1,1,1,1,8,4,90
6788,1,1,1,1,8,4,100
6787,1,1,1,1,8,4,101
6786,1,1,1,1,8,3,0
6785,1,1,1,1,8,3,40
6784,1,1,1,1,8,3,50
6783,1,1,1,1,8,3,60
6782,1,1,1,1,8,3,70
6781,1,1,1,1,8,3,80
6780,1,1,1,1,8,3,90
6779,1,1,1,1,8,3,100
6778,1,1,1,1,8,3,101
6777,1,1,1,1,8,2,0
6776,1,1,1,1,8,2,40
6775,1,1,1,1,8,2,50
6774,1,1,1,1,8,2,60
6773,1,1,1,1,8,2,70
6772,1,1,1,1,8,2,80
6771,1,1,1,1,8,2,90
6770,1,1,1,1,8,2,100
6769,1,1,1,1,8,2,101
6768,1,1,1,1,8,1,0
6767,1,1,1,1,8,1,40
6766,1,1,1,1,8,1,50
6765,1,1,1,1,8,1,60
6764,1,1,1,1,8,1,70
6763,1,1,1,1,8,1,80
6762,1,1,1,1,8,1,90
6761,1,1,1,1,8,1,100
6760,1,1,1,1,8,1,101
6759,1,1,1,1,8,0,0
6758,1,1,1,1,8,0,40
6757,1,1,1,1,8,0,50
6756,1,1,1,1,8,0,60
6755,1,1,1,1,8,0,70
6754,1,1,1,1,8,0,80
6753,1,1,1,1,8,0,90
6752,1,1,1,1,8,0,100
6751,1,1,1,1,8,0,101
6750,1,1,1,1,7,9,0
6749,1,1,1,1,7,9,40
6748,1,1,1,1,7,9,50
6747,1,1,1,1,7,9,60
6746,1,1,1,1,7,9,70
6745,1,1,1,1,7,9,80
6744,1,1,1,1,7,9,90
6743,1,1,1,1,7,9,100
6742,1,1,1,1,7,9,101
6741,1,1,1,1,7,8,0
6740,1,1,1,1,7,8,40
6739,1,1,1,1,7,8,50
6738,1,1,1,1,7,8,60
6737,1,1,1,1,7,8,70
6736,1,1,1,1,7,8,80
6735,1,1,1,1,7,8,90
6734,1,1,1,1,7,8,100
6733,1,1,1,1,7,8,101
6732,1,1,1,1,7,7,0
6731,1,1,1,1,7,7,40
6730,1,1,1,1,7,7,50
6729,1,1,1,1,7,7,60
6728,1,1,1,1,7,7,70
6727,1,1,1,1,7,7,80
6726,1,1,1,1,7,7,90
6725,1,1,1,1,7,7,100
6724,1,1,1,1,7,7,101
6723,1,1,1,1,7,6,0
6722,1,1,1,1,7,6,40
6721,1,1,1,1,7,6,50
6720,1,1,1,1,7,6,60
6719,1,1,1,1,7,6,70
6718,1,1,1,1,7,6,80
6717,1,1,1,1,7,6,90
6716,1,1,1,1,7,6,100
6715,1,1,1,1,7,6,101
6714,1,1,1,1,7,5,0
6713,1,1,1,1,7,5,40
6712,1,1,1,1,7,5,50
6711,1,1,1,1,7,5,60
6710,1,1,1,1,7,5,70
6709,1,1,1,1,7,5,80
6708,1,1,1,1,7,5,90
6707,1,1,1,1,7,5,100
6706,1,1,1,1,7,5,101
6705,1,1,1,1,7,4,0
6704,1,1,1,1,7,4,40
6703,1,1,1,1,7,4,50
6702,1,1,1,1,7,4,60
6701,1,1,1,1,7,4,70
6700,1,1,1,1,7,4,80
6699,1,1,1,1,7,4,90
6698,1,1,1,1,7,4,100
6697,1,1,1,1,7,4,101
6696,1,1,1,1,7,3,0
6695,1,1,1,1,7,3,40
6694,1,1,1,1,7,3,50
6693,1,1,1,1,7,3,60
6692,1,1,1,1,7,3,70
6691,1,1,1,1,7,3,80
6690,1,1,1,1,7,3,90
6689,1,1,1,1,7,3,100
6688,1,1,1,1,7,3,101
6687,1,1,1,1,7,2,0
6686,1,1,1,1,7,2,40
6685,1,1,1,1,7,2,50
6684,1,1,1,1,7,2,60
6683,1,1,1,1,7,2,70
6682,1,1,1,1,7,2,80
6681,1,1,1,1,7,2,90
6680,1,1,1,1,7,2,100
6679,1,1,1,1,7,2,101
6678,1,1,1,1,7,1,0
6677,1,1,1,1,7,1,40
6676,1,1,1,1,7,1,50
6675,1,1,1,1,7,1,60
6674,1,1,1,1,7,1,70
6673,1,1,1,1,7,1,80
6672,1,1,1,1,7,1,90
6671,1,1,1,1,7,1,100
6670,1,1,1,1,7,1,101
6669,1,1,1,1,7,0,0
6668,1,1,1,1,7,0,40
6667,1,1,1,1,7,0,50
6666,1,1,1,1,7,0,60
6665,1,1,1,1,7,0,70
6664,1,1,1,1,7,0,80
6663,1,1,1,1,7,0,90
6662,1,1,1,1,7,0,100
6661,1,1,1,1,7,0,101
6660,1,1,1,1,6,9,0
6659,1,1,1,1,6,9,40
6658,1,1,1,1,6,9,50
6657,1,1,1,1,6,9,60
6656,1,1,1,1,6,9,70
6655,1,1,1,1,6,9,80
6654,1,1,1,1,6,9,90
6653,1,1,1,1,6,9,100
6652,1,1,1,1,6,9,101
6651,1,1,1,1,6,8,0
6650,1,1,1,1,6,8,40
6649,1,1,1,1,6,8,50
6648,1,1,1,1,6,8,60
6647,1,1,1,1,6,8,70
6646,1,1,1,1,6,8,80
6645,1,1,1,1,6,8,90
6644,1,1,1,1,6,8,100
6643,1,1,1,1,6,8,101
6642,1,1,1,1,6,7,0
6641,1,1,1,1,6,7,40
6640,1,1,1,1,6,7,50
6639,1,1,1,1,6,7,60
6638,1,1,1,1,6,7,70
6637,1,1,1,1,6,7,80
6636,1,1,1,1,6,7,90
6635,1,1,1,1,6,7,100
6634,1,1,1,1,6,7,101
6633,1,1,1,1,6,6,0
6632,1,1,1,1,6,6,40
6631,1,1,1,1,6,6,50
6630,1,1,1,1,6,6,60
6629,1,1,1,1,6,6,70
6628,1,1,1,1,6,6,80
6627,1,1,1,1,6,6,90
6626,1,1,1,1,6,6,100
6625,1,1,1,1,6,6,101
6624,1,1,1,1,6,5,0
6623,1,1,1,1,6,5,40
6622,1,1,1,1,6,5,50
6621,1,1,1,1,6,5,60
6620,1,1,1,1,6,5,70
6619,1,1,1,1,6,5,80
6618,1,1,1,1,6,5,90
6617,1,1,1,1,6,5,100
6616,1,1,1,1,6,5,101
6615,1,1,1,1,6,4,0
6614,1,1,1,1,6,4,40
6613,1,1,1,1,6,4,50
6612,1,1,1,1,6,4,60
6611,1,1,1,1,6,4,70
6610,1,1,1,1,6,4,80
6609,1,1,1,1,6,4,90
6608,1,1,1,1,6,4,100
6607,1,1,1,1,6,4,101
6606,1,1,1,1,6,3,0
6605,1,1,1,1,6,3,40
6604,1,1,1,1,6,3,50
6603,1,1,1,1,6,3,60
6602,1,1,1,1,6,3,70
6601,1,1,1,1,6,3,80
6600,1,1,1,1,6,3,90
6599,1,1,1,1,6,3,100
6598,1,1,1,1,6,3,101
6597,1,1,1,1,6,2,0
6596,1,1,1,1,6,2,40
6595,1,1,1,1,6,2,50
6594,1,1,1,1,6,2,60
6593,1,1,1,1,6,2,70
6592,1,1,1,1,6,2,80
6591,1,1,1,1,6,2,90
6590,1,1,1,1,6,2,100
6589,1,1,1,1,6,2,101
6588,1,1,1,1,6,1,0
6587,1,1,1,1,6,1,40
6586,1,1,1,1,6,1,50
6585,1,1,1,1,6,1,60
6584,1,1,1,1,6,1,70
6583,1,1,1,1,6,1,80
6582,1,1,1,1,6,1,90
6581,1,1,1,1,6,1,100
6580,1,1,1,1,6,1,101
6579,1,1,1,1,6,0,0
6578,1,1,1,1,6,0,40
6577,1,1,1,1,6,0,50
6576,1,1,1,1,6,0,60
6575,1,1,1,1,6,0,70
6574,1,1,1,1,6,0,80
6573,1,1,1,1,6,0,90
6572,1,1,1,1,6,0,100
6571,1,1,1,1,6,0,101
6570,1,1,1,1,5,9,0
6569,1,1,1,1,5,9,40
6568,1,1,1,1,5,9,50
6567,1,1,1,1,5,9,60
6566,1,1,1,1,5,9,70
6565,1,1,1,1,5,9,80
6564,1,1,1,1,5,9,90
6563,1,1,1,1,5,9,100
6562,1,1,1,1,5,9,101
6561,1,1,1,1,5,8,0
6560,1,1,1,1,5,8,40
6559,1,1,1,1,5,8,50
6558,1,1,1,1,5,8,60
6557,1,1,1,1,5,8,70
6556,1,1,1,1,5,8,80
6555,1,1,1,1,5,8,90
6554,1,1,1,1,5,8,100
6553,1,1,1,1,5,8,101
6552,1,1,1,1,5,7,0
6551,1,1,1,1,5,7,40
6550,1,1,1,1,5,7,50
6549,1,1,1,1,5,7,60
6548,1,1,1,1,5,7,70
6547,1,1,1,1,5,7,80
6546,1,1,1,1,5,7,90
6545,1,1,1,1,5,7,100
6544,1,1,1,1,5,7,101
6543,1,1,1,1,5,6,0
6542,1,1,1,1,5,6,40
6541,1,1,1,1,5,6,50
6540,1,1,1,1,5,6,60
6539,1,1,1,1,5,6,70
6538,1,1,1,1,5,6,80
6537,1,1,1,1,5,6,90
6536,1,1,1,1,5,6,100
6535,1,1,1,1,5,6,101
6534,1,1,1,1,5,5,0
6533,1,1,1,1,5,5,40
6532,1,1,1,1,5,5,50
6531,1,1,1,1,5,5,60
6530,1,1,1,1,5,5,70
6529,1,1,1,1,5,5,80
6528,1,1,1,1,5,5,90
6527,1,1,1,1,5,5,100
6526,1,1,1,1,5,5,101
6525,1,1,1,1,5,4,0
6524,1,1,1,1,5,4,40
6523,1,1,1,1,5,4,50
6522,1,1,1,1,5,4,60
6521,1,1,1,1,5,4,70
6520,1,1,1,1,5,4,80
6519,1,1,1,1,5,4,90
6518,1,1,1,1,5,4,100
6517,1,1,1,1,5,4,101
6516,1,1,1,1,5,3,0
6515,1,1,1,1,5,3,40
6514,1,1,1,1,5,3,50
6513,1,1,1,1,5,3,60
6512,1,1,1,1,5,3,70
6511,1,1,1,1,5,3,80
6510,1,1,1,1,5,3,90
6509,1,1,1,1,5,3,100
6508,1,1,1,1,5,3,101
6507,1,1,1,1,5,2,0
6506,1,1,1,1,5,2,40
6505,1,1,1,1,5,2,50
6504,1,1,1,1,5,2,60
6503,1,1,1,1,5,2,70
6502,1,1,1,1,5,2,80
6501,1,1,1,1,5,2,90
6500,1,1,1,1,5,2,100
6499,1,1,1,1,5,2,101
6498,1,1,1,1,5,1,0
6497,1,1,1,1,5,1,40
6496,1,1,1,1,5,1,50
6495,1,1,1,1,5,1,60
6494,1,1,1,1,5,1,70
6493,1,1,1,1,5,1,80
6492,1,1,1,1,5,1,90
6491,1,1,1,1,5,1,100
6490,1,1,1,1,5,1,101
6489,1,1,1,1,5,0,0
6488,1,1,1,1,5,0,40
6487,1,1,1,1,5,0,50
6486,1,1,1,1,5,0,60
6485,1,1,1,1,5,0,70
6484,1,1,1,1,5,0,80
6483,1,1,1,1,5,0,90
6482,1,1,1,1,5,0,100
6481,1,1,1,1,5,0,101
6480,1,1,1,1,4,9,0
6479,1,1,1,1,4,9,40
6478,1,1,1,1,4,9,50
6477,1,1,1,1,4,9,60
6476,1,1,1,1,4,9,70
6475,1,1,1,1,4,9,80
6474,1,1,1,1,4,9,90
6473,1,1,1,1,4,9,100
6472,1,1,1,1,4,9,101
6471,1,1,1,1,4,8,0
6470,1,1,1,1,4,8,40
6469,1,1,1,1,4,8,50
6468,1,1,1,1,4,8,60
6467,1,1,1,1,4,8,70
6466,1,1,1,1,4,8,80
6465,1,1,1,1,4,8,90
6464,1,1,1,1,4,8,100
6463,1,1,1,1,4,8,101
6462,1,1,1,1,4,7,0
6461,1,1,1,1,4,7,40
6460,1,1,1,1,4,7,50
6459,1,1,1,1,4,7,60
6458,1,1,1,1,4,7,70
6457,1,1,1,1,4,7,80
6456,1,1,1,1,4,7,90
6455,1,1,1,1,4,7,100
6454,1,1,1,1,4,7,101
6453,1,1,1,1,4,6,0
6452,1,1,1,1,4,6,40
6451,1,1,1,1,4,6,50
6450,1,1,1,1,4,6,60
6449,1,1,1,1,4,6,70
6448,1,1,1,1,4,6,80
6447,1,1,1,1,4,6,90
6446,1,1,1,1,4,6,100
6445,1,1,1,1,4,6,101
6444,1,1,1,1,4,5,0
6443,1,1,1,1,4,5,40
6442,1,1,1,1,4,5,50
6441,1,1,1,1,4,5,60
6440,1,1,1,1,4,5,70
6439,1,1,1,1,4,5,80
6438,1,1,1,1,4,5,90
6437,1,1,1,1,4,5,100
6436,1,1,1,1,4,5,101
6435,1,1,1,1,4,4,0
6434,1,1,1,1,4,4,40
6433,1,1,1,1,4,4,50
6432,1,1,1,1,4,4,60
6431,1,1,1,1,4,4,70
6430,1,1,1,1,4,4,80
6429,1,1,1,1,4,4,90
6428,1,1,1,1,4,4,100
6427,1,1,1,1,4,4,101
6426,1,1,1,1,4,3,0
6425,1,1,1,1,4,3,40
6424,1,1,1,1,4,3,50
6423,1,1,1,1,4,3,60
6422,1,1,1,1,4,3,70
6421,1,1,1,1,4,3,80
6420,1,1,1,1,4,3,90
6419,1,1,1,1,4,3,100
6418,1,1,1,1,4,3,101
6417,1,1,1,1,4,2,0
6416,1,1,1,1,4,2,40
6415,1,1,1,1,4,2,50
6414,1,1,1,1,4,2,60
6413,1,1,1,1,4,2,70
6412,1,1,1,1,4,2,80
6411,1,1,1,1,4,2,90
6410,1,1,1,1,4,2,100
6409,1,1,1,1,4,2,101
6408,1,1,1,1,4,1,0
6407,1,1,1,1,4,1,40
6406,1,1,1,1,4,1,50
6405,1,1,1,1,4,1,60
6404,1,1,1,1,4,1,70
6403,1,1,1,1,4,1,80
6402,1,1,1,1,4,1,90
6401,1,1,1,1,4,1,100
6400,1,1,1,1,4,1,101
6399,1,1,1,1,4,0,0
6398,1,1,1,1,4,0,40
6397,1,1,1,1,4,0,50
6396,1,1,1,1,4,0,60
6395,1,1,1,1,4,0,70
6394,1,1,1,1,4,0,80
6393,1,1,1,1,4,0,90
6392,1,1,1,1,4,0,100
6391,1,1,1,1,4,0,101
6390,1,1,1,1,3,9,0
6389,1,1,1,1,3,9,40
