year,applicant_id,grade_id,program_id,ranking,quota_id,priority_profile,assignment_order,status
2025,28424431,1,1,1,1,2195,1,ListaPriorizados
2025,28484687,1,1,1,1,2071,2,ListaPriorizados
2025,28501600,1,1,1,1,485,3,ListaPriorizados
2025,28486166,1,1,1,1,485,4,ListaPriorizados
2025,28469359,1,1,1,1,485,5,ListaPriorizados
2025,28518845,1,1,1,1,485,6,ListaPriorizados
2025,28444275,1,1,1,1,485,7,ListaPriorizados
2025,28425810,1,1,1,1,478,8,ListaPriorizados
2025,28429447,1,1,1,1,476,9,ListaPriorizados
2025,28488880,1,1,1,1,474,10,ListaPriorizados
2025,28466468,1,1,1,1,469,11,ListaPriorizados
2025,28446675,1,1,1,1,469,12,ListaPriorizados
2025,28541899,1,1,1,1,469,13,ListaPriorizados
2025,28431256,1,1,1,1,467,14,ListaPriorizados
2025,100784630,1,1,1,1,460,15,ListaPriorizados
2025,28492410,1,1,1,1,460,16,ListaPriorizados
2025,28445529,1,1,1,1,286,17,ListaPriorizados
2025,28465970,1,1,1,1,28,18,ListaPriorizados
2025,28428927,1,1,1,1,19,19,ListaPriorizados
2025,28409013,1,1,1,1,19,20,ListaPriorizados
2025,28415612,1,1,1,1,19,21,ListaEspera
2025,28543161,1,1,1,1,19,22,ListaEspera
2025,28479527,1,1,1,1,19,23,ListaEspera
2025,28463881,1,1,1,1,19,24,ListaEspera
2025,28472573,1,1,1,1,10,25,ListaEspera
2025,27731955,2,2,1,1,494,1,ListaEspera
2025,28152266,2,2,1,1,485,2,ListaEspera
2025,28333899,2,2,1,1,485,3,ListaEspera
2025,28192140,2,2,1,1,483,4,ListaEspera
2025,28182181,2,2,1,1,478,5,ListaEspera
2025,28220380,2,2,1,1,476,6,ListaEspera
2025,28217800,2,2,1,1,476,7,ListaEspera
2025,28216400,2,2,1,1,476,8,ListaEspera
2025,28230053,2,2,1,1,476,9,ListaEspera
2025,28200103,2,2,1,1,476,10,ListaEspera
2025,28278654,2,2,1,1,475,11,ListaEspera
2025,28118176,2,2,1,1,475,12,ListaEspera
2025,28263545,2,2,1,1,474,13,ListaEspera
2025,28344736,2,2,1,1,467,14,ListaEspera
2025,28214659,2,2,1,1,467,15,ListaEspera
2025,28311183,2,2,1,1,467,16,ListaEspera
2025,28351160,2,2,1,1,467,17,ListaEspera
