year,school_id,grade_id,program_id,regular_vacancies
2025,1101001,1,1,20
2025,1101001,2,2,0
2025,1101001,3,3,24
2025,1101001,4,4,10
2025,1101002,1,5,18
2025,1101002,2,6,27
2025,1101002,3,7,14
2025,1101002,4,8,7
2025,1101003,1,9,20
2025,1101003,2,10,0
2025,1101003,3,11,31
2025,1101003,4,12,1
2025,1101005,1,13,17
2025,1101005,2,14,9
2025,1101005,3,15,22
2025,1101005,4,16,0
2025,1101006,1,17,20
2025,1101006,2,18,1
2025,1101006,3,19,23
2025,1101006,4,20,1
2025,1101007,1,21,10
2025,1101007,2,22,29
2025,1101007,3,23,4
2025,1101007,4,24,1
2025,1101008,1,25,12
2025,1101008,2,26,2
2025,1101008,3,27,37
2025,1101008,4,28,1
2025,1101009,0,29,14
2025,1101009,2,30,1
2025,1101009,11,31,0
2025,1101010,1,32,19
2025,1101010,2,33,12
2025,1101010,3,34,19
2025,1101010,4,35,1
2025,1101011,0,36,12
2025,1101011,3,37,12
2025,1101011,4,38,0
2025,1101012,0,39,11
2025,1101012,3,40,18
2025,1101012,4,41,0
2025,1101013,1,42,19
2025,1101013,2,43,2
2025,1101013,3,44,35
2025,1101013,4,45,4
2025,1101016,1,46,20
2025,1101016,2,47,5
2025,1101016,3,48,11
2025,1101016,4,49,4
2025,1101034,0,50,17
2025,1101034,2,51,11
2025,1101035,0,52,16
2025,1101035,11,53,2
2025,1101036,0,54,16
2025,1101036,11,55,0
2025,1101037,1,56,14
2025,1101037,2,57,0
2025,1101037,11,58,0
2025,1101038,1,59,20
2025,1101038,2,60,0
2025,1101038,3,61,12
2025,1101038,4,62,2
2025,1101039,8,63,7
2025,1101043,8,64,11
2025,1101047,0,65,18
2025,1101047,11,66,0
2025,1107001,0,67,34
2025,1107001,2,68,21
2025,1107001,3,69,1
2025,1107001,4,70,6
2025,1107002,1,71,12
2025,1107002,2,72,12
2025,1107002,3,73,16
2025,1107002,4,74,10
2025,1107008,1,75,18
2025,1107008,2,76,1
2025,1107008,3,77,5
2025,1107008,4,78,0
2025,1107012,0,79,20
2025,1107012,2,80,20
2025,1107012,3,81,10
2025,1107012,4,82,14
2025,1107012,11,83,10
2025,1107013,1,84,14
2025,1107013,2,85,19
2025,1107013,3,86,16
2025,1107013,4,87,0
2025,1107014,0,88,12
2025,1107014,2,89,46
2025,1107014,3,90,1
2025,1107014,4,91,5
2025,1107014,11,92,13
2025,1107016,1,93,18
2025,1107016,2,94,6
2025,1107016,3,95,2
2025,1107016,4,96,3
2025,1107017,1,97,17
2025,1107017,2,98,8
2025,1107017,3,99,7
2025,1107017,4,100,3
2025,1107017,11,101,20
2025,1107019,0,102,18
2025,1107019,2,103,11
2025,1107019,3,104,4
2025,1107019,11,105,7
2025,1107020,0,106,14
2025,1107020,2,107,6
2025,1107020,11,108,0
2025,1107021,1,109,13
2025,1107021,2,110,1
2025,1107021,11,111,0
2025,1107022,0,112,14
2025,1107022,1,113,20
2025,1107022,2,114,1
2025,1107022,3,115,0
2025,1107022,4,116,0
2025,1107023,1,117,20
2025,1107023,2,118,6
2025,1107023,3,119,7
2025,1107023,4,120,4
2025,1107024,1,121,17
2025,1107024,2,122,13
2025,1107024,3,123,2
2025,1107024,4,124,2
2025,1107025,0,125,19
2025,1107025,2,126,13
2025,1107025,3,127,0
2025,1107025,11,128,3
2025,1107026,1,129,20
2025,1107026,2,130,3
2025,1107026,3,131,13
2025,1107026,4,132,11
2025,1107028,1,133,18
2025,1107028,2,134,7
2025,1107028,3,135,17
2025,1107028,4,136,3
2025,1107029,0,137,17
2025,1107029,2,138,14
2025,1107030,0,139,17
2025,1107030,2,140,3
2025,1107030,3,141,4
2025,1107030,4,142,0
2025,1401001,8,143,9
2025,1401003,0,144,18
2025,1401003,2,145,8
2025,1401003,3,146,0
2025,1401003,4,147,0
2025,1401004,1,148,18
2025,1401004,2,149,6
2025,1401004,3,150,9
2025,1401004,4,151,0
2025,1402001,8,152,6
2025,1402002,8,153,6
2025,1402003,8,154,4
2025,1402004,8,155,9
2025,1402005,8,156,7
2025,1402006,0,157,8
2025,1402006,11,158,3
2025,1403002,8,159,6
2025,1403005,0,160,8
2025,1403005,11,161,2
2025,1404002,8,162,9
2025,1404003,8,163,8
2025,1404004,8,164,8
2025,1404005,8,165,9
2025,1404007,0,166,7
2025,1404007,11,167,11
2025,1405001,0,168,20
2025,1405001,2,169,11
2025,1405001,3,170,6
2025,1405001,4,171,0
2025,1405001,11,172,18
2025,2101001,0,173,7
2025,2101001,2,174,9
2025,2101001,11,175,3
2025,2101002,1,176,40
2025,2101002,2,177,4
2025,2101002,3,178,1
2025,2101002,4,179,13
2025,2101004,0,180,19
2025,2101004,2,181,2
2025,2101004,11,182,0
2025,2101005,0,183,20
2025,2101005,1,184,18
2025,2101005,2,185,46
2025,2101005,3,186,2
2025,2101005,4,187,12
2025,2101005,11,188,2
2025,2101006,1,189,20
2025,2101006,2,190,41
2025,2101006,3,191,3
2025,2101006,4,192,24
2025,2101006,11,193,7
2025,2101007,0,194,15
2025,2101007,3,195,13
2025,2101007,4,196,0
2025,2101008,0,197,17
2025,2101008,11,198,3
2025,2101009,0,199,20
2025,2101009,2,200,14
2025,2101009,3,201,10
2025,2101009,4,202,6
2025,2101010,0,203,19
2025,2101010,2,204,24
2025,2101010,3,205,32
2025,2101010,4,206,2
2025,2101011,1,207,14
2025,2101011,2,208,12
2025,2101011,3,209,0
2025,2101011,4,210,9
2025,2101011,11,211,5
2025,2101012,1,212,31
2025,2101012,2,213,88
2025,2101012,3,214,51
2025,2101012,4,215,7
2025,2101013,1,216,20
2025,2101013,2,217,22
2025,2101013,3,218,19
2025,2101013,4,219,1
2025,2101014,0,220,10
2025,2101014,3,221,12
2025,2101014,4,222,7
2025,2101015,0,223,18
2025,2101015,2,224,11
2025,2101015,3,225,7
2025,2101015,4,226,5
2025,2101015,5,227,6
2025,2101016,0,228,14
2025,2101016,2,229,6
2025,2101016,11,230,0
2025,2101017,0,231,8
2025,2101017,11,232,4
2025,2101018,0,233,13
2025,2101019,1,234,20
2025,2101019,2,235,6
2025,2101019,3,236,1
2025,2101019,4,237,2
2025,2101034,4,238,19
2025,2101034,5,239,0
2025,2101034,6,240,11
2025,2101047,0,241,16
2025,2101047,11,242,0
2025,2101048,0,243,14
2025,2101048,11,244,2
2025,2101049,0,245,13
2025,2101049,11,246,6
2025,2101050,1,247,20
2025,2101050,2,248,4
2025,2101050,3,249,9
2025,2101050,4,250,3
2025,2101051,1,251,20
2025,2101051,2,252,10
2025,2101051,3,253,6
2025,2101051,4,254,2
2025,2101060,0,255,15
2025,2101060,2,256,8
2025,2101060,11,257,0
2025,2101061,0,258,16
2025,2101061,3,259,9
2025,2101061,4,260,6
2025,2101062,0,261,19
2025,2101062,11,262,0
2025,2101063,0,263,20
2025,2101063,2,264,29
2025,2101063,3,265,0
2025,2101063,4,266,0
2025,2101063,11,267,2
2025,2101064,0,268,16
2025,2101064,11,269,0
2025,2101066,0,270,13
2025,2101066,3,271,12
2025,2101066,4,272,24
2025,2101067,0,273,8
2025,2101067,1,274,20
2025,2101067,11,275,2
2025,2102002,9,276,15
2025,2102020,3,277,17
2025,2102020,4,278,0
2025,2104001,0,279,19
2025,2104001,2,280,8
2025,2104001,3,281,1
2025,2104001,4,282,0
2025,2104001,11,283,16
2025,2104002,0,284,20
2025,2104003,2,285,17
2025,2104003,9,286,0
2025,2104021,8,287,8
2025,2201001,1,288,0
2025,2201001,2,289,0
2025,2201001,3,290,0
2025,2201001,4,291,0
2025,2201002,1,292,0
2025,2201002,2,293,0
2025,2201002,3,294,0
2025,2201002,4,295,0
2025,2201003,1,296,20
2025,2201003,2,297,0
2025,2201003,3,298,11
2025,2201003,4,299,0
2025,2201003,11,300,28
2025,2201004,1,301,0
2025,2201004,2,302,0
2025,2201004,11,303,0
2025,2201005,0,304,0
2025,2201006,1,305,0
2025,2201006,2,306,0
2025,2201006,3,307,0
2025,2201006,4,308,0
2025,2201007,0,309,0
2025,2201007,11,310,0
2025,2201008,1,311,0
2025,2201008,2,312,0
2025,2201008,3,313,0
2025,2201008,4,314,0
2025,2201009,0,315,0
2025,2201009,11,316,0
2025,2201010,1,317,0
2025,2201010,2,318,0
2025,2201010,11,319,0
2025,2201011,11,320,0
2025,2201025,0,321,6
2025,2201025,5,322,5
2025,2201025,11,323,6
2025,2203001,1,324,15
2025,2203001,2,325,7
2025,2203001,3,326,4
2025,2203001,4,327,5
2025,2203001,11,328,22
2025,2203003,0,329,20
2025,2203003,1,330,19
2025,2203003,2,331,3
2025,2203003,3,332,1
2025,2203003,4,333,1
2025,2203003,11,334,0
2025,2203019,8,335,8
2025,2203021,8,336,8
2025,2301001,1,337,20
2025,2301001,2,338,4
2025,2301001,3,339,12
2025,2301001,4,340,8
2025,2301001,11,341,24
2025,2301004,0,342,18
2025,2301004,3,343,14
2025,2301004,4,344,11
2025,2301032,11,345,18
2025,2301034,1,346,13
2025,2301034,2,347,5
2025,2301034,3,348,13
2025,2301034,4,349,3
2025,2302001,8,350,9
2025,3101001,0,351,14
2025,3101001,3,352,16
2025,3101001,11,353,4
2025,3101002,0,354,12
2025,3101002,11,355,1
2025,3101003,7,356,50
2025,3101003,8,357,30
2025,3101005,1,358,12
2025,3101005,2,359,0
2025,3101005,11,360,0
2025,3101006,1,361,33
2025,3101006,2,362,33
2025,3101006,3,363,0
2025,3101006,4,364,1
2025,3101008,0,365,20
2025,3101008,1,366,34
2025,3101008,2,367,10
2025,3101008,3,368,4
2025,3101008,4,369,0
2025,3101009,1,370,13
2025,3101009,2,371,27
2025,3101009,3,372,5
2025,3101009,4,373,0
2025,3101009,11,374,0
2025,3101011,8,375,14
2025,3101014,8,376,10
2025,3101016,8,377,14
2025,3101018,0,378,14
2025,3101018,11,379,1
2025,3101019,11,380,12
2025,3101020,0,381,20
2025,3101020,2,382,9
2025,3101020,3,383,4
2025,3101020,4,384,3
2025,3101020,9,385,6
2025,3101020,11,386,30
2025,3101022,9,387,17
2025,3101031,0,388,19
2025,3101031,11,389,8
2025,3101033,0,390,12
2025,3101033,11,391,12
2025,3101034,0,392,8
2025,3101034,11,393,21
2025,3101036,0,394,15
2025,3101036,11,395,2
2025,3101037,1,396,19
2025,3101037,2,397,7
2025,3101037,3,398,8
2025,3101037,4,399,6
2025,3101038,1,400,19
2025,3101038,2,401,8
2025,3101038,3,402,14
2025,3101038,4,403,4
2025,3101039,1,404,17
2025,3101039,2,405,7
2025,3101039,11,406,2
2025,3101040,1,407,19
2025,3101040,2,408,12
2025,3101040,11,409,5
2025,3101041,0,410,16
2025,3101041,11,411,2
2025,3101042,0,412,15
2025,3101042,3,413,17
2025,3101042,4,414,2
2025,3101043,1,415,6
2025,3101043,2,416,2
2025,3101044,1,417,20
2025,3101044,2,418,0
2025,3101044,3,419,10
2025,3101044,4,420,0
2025,3101045,0,421,13
2025,3101045,11,422,7
2025,3101049,1,423,20
2025,3101049,2,424,6
2025,3101049,11,425,5
2025,3101050,0,426,16
2025,3101050,2,427,13
2025,3101050,3,428,0
2025,3101050,11,429,0
2025,3102006,0,430,12
2025,3102006,11,431,1
2025,3102007,1,432,17
2025,3102007,2,433,10
2025,3102007,11,434,12
2025,3102008,1,435,14
2025,3102008,2,436,7
2025,3102008,11,437,5
2025,3102010,0,438,13
2025,3102010,1,439,19
2025,3102010,2,440,11
2025,3102010,3,441,7
2025,3102010,4,442,19
2025,3102010,11,443,3
2025,3102011,0,444,11
2025,3102011,1,445,20
2025,3102011,2,446,20
2025,3102011,3,447,14
2025,3102011,4,448,28
2025,3102011,11,449,2
2025,3103001,0,450,27
2025,3103001,1,451,15
2025,3103001,2,452,11
2025,3103001,11,453,1
2025,3103006,1,454,12
2025,3103006,2,455,12
2025,3103006,11,456,4
2025,3103011,0,457,7
2025,3103011,11,458,10
2025,3103013,8,459,7
2025,3201001,1,460,31
2025,3201001,2,461,4
2025,3201001,3,462,18
2025,3201001,4,463,7
2025,3201001,11,464,25
2025,3201003,0,465,13
2025,3201003,11,466,8
2025,3201006,0,467,16
2025,3201006,9,468,36
2025,3201007,0,469,14
2025,3201007,1,470,20
2025,3201007,2,471,20
2025,3201007,3,472,20
2025,3201007,4,473,28
2025,3201007,11,474,11
2025,3202001,0,475,13
2025,3202001,1,476,19
2025,3202001,2,477,5
2025,3202001,3,478,8
2025,3202001,4,479,0
2025,3202001,11,480,24
2025,3202002,8,481,4
2025,3202003,0,482,13
2025,3202003,11,483,15
2025,3301001,0,484,10
2025,3301001,11,485,8
2025,3301002,0,486,9
2025,3301002,11,487,8
2025,3301003,1,488,20
2025,3301003,2,489,20
2025,3301003,3,490,43
2025,3301003,4,491,38
2025,3301004,0,492,13
2025,3301004,1,493,19
2025,3301004,2,494,20
2025,3301004,3,495,1
2025,3301004,4,496,1
2025,3301004,11,497,35
2025,3301006,0,498,7
2025,3301006,11,499,3
2025,3301008,0,500,14
2025,3301008,11,501,9
2025,3301010,8,502,11
2025,3301012,8,503,8
2025,3301014,0,504,15
2025,3301014,11,505,6
2025,3301016,8,506,8
2025,3301017,0,507,10
2025,3301017,11,508,5
2025,3301018,0,509,20
2025,3301018,2,510,11
2025,3301018,3,511,38
2025,3301018,4,512,23
2025,3302003,8,513,6
2025,3302004,0,514,11
2025,3302004,11,515,20
2025,3302005,0,516,8
2025,3302005,11,517,20
2025,3302007,8,518,7
2025,3302017,8,519,9
2025,3303001,0,520,12
2025,3303001,3,521,13
2025,3303001,4,522,13
2025,3303003,0,523,9
2025,3303003,11,524,14
2025,3303006,8,525,8
2025,3303007,0,526,18
2025,3303007,11,527,15
2025,3303008,0,528,16
2025,3303008,11,529,21
2025,3303009,0,530,19
2025,3303009,11,531,10
2025,3303010,8,532,12
2025,3304001,0,533,31
2025,3304001,1,534,13
2025,3304001,2,535,8
2025,3304001,3,536,4
2025,3304001,4,537,6
2025,3304005,8,538,9
2025,3304006,0,539,18
2025,3304006,11,540,1
2025,3304007,8,541,12
2025,4101001,0,542,11
2025,4101001,2,543,12
2025,4101001,3,544,8
2025,4101001,4,545,0
2025,4101004,0,546,14
2025,4101004,2,547,9
2025,4101004,3,548,24
2025,4101004,4,549,8
2025,4101005,0,550,16
2025,4101005,1,551,13
2025,4101005,2,552,13
2025,4101005,3,553,4
2025,4101005,11,554,2
2025,4101006,0,555,13
2025,4101006,1,556,19
2025,4101006,2,557,23
2025,4101006,3,558,10
2025,4101006,4,559,14
2025,4101006,11,560,28
2025,4101011,0,561,20
2025,4101011,2,562,5
2025,4101011,3,563,15
2025,4101011,4,564,7
2025,4101012,0,565,20
2025,4101012,2,566,5
2025,4101012,3,567,15
2025,4101012,4,568,10
2025,4101014,1,569,10
2025,4101014,2,570,10
2025,4101014,3,571,8
2025,4101014,4,572,8
2025,4101017,8,573,4
2025,4101019,1,574,19
2025,4101019,2,575,3
2025,4101029,8,576,9
2025,4101032,8,577,10
2025,4101033,8,578,8
2025,4101034,8,579,17
2025,4101041,8,580,19
2025,4101045,0,581,15
2025,4101045,9,582,2
2025,4101046,1,583,17
2025,4101046,2,584,1
2025,4101046,3,585,20
2025,4101046,4,586,0
2025,4101047,0,587,13
